Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Tuesday,Over 51,Male,Elementary school,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,13,9
Friday,Unknown,Male,Junior high school,1-2yr,Other,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,20,30
Friday,Under 18,Male,Junior high school,5-10yr,Other,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,20,30
Friday,Over 51,Male,Junior high school,Above 10yr,Other,Owner,2-5yrs,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,19,0
Saturday,Unknown,Male,Elementary school,2-5yr,Pick up upto 10Q,Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,12,40
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,12
Wednesday,31-50,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18,12
Wednesday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,5,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,12
Wednesday,18-30,Male,High school,Above 10yr,Public (13?45 seats),Organization,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,12
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7,50
Wednesday,18-30,Male,Elementary school,1-2yr,Pick up upto 10Q,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,7,50
Thursday,Under 18,Male,Junior high school,5-10yr,Lorry (41?100Q),Governmental,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,10,16
Thursday,Over 51,Female,Elementary school,1-2yr,Public (12 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No distancing,Slight Injury,10,16
Saturday,Over 51,Male,Junior high school,1-2yr,Other,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,23,5
Sunday,18-30,Male,Above high school,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,0,47
Sunday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,0,47
Monday,18-30,Male,Junior high school,5-10yr,Other,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,10,30
Monday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,4,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,30
Saturday,18-30,Male,High school,Below 1yr,Ridden horse,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,13,1
Saturday,Over 51,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13,1
Saturday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,13,1
Monday,18-30,Female,Junior high school,Below 1yr,Stationwagen,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Serious Injury,17,41
Monday,31-50,Female,Junior high school,Above 10yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,17,41
Monday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,41
Monday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,4,2,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,17,41
Friday,31-50,Male,Junior high school,5-10yr,Long lorry,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Friday,Under 18,Male,Junior high school,1-2yr,Stationwagen,Owner,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17,25
Friday,31-50,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Slight Injury,17,25
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Overtaking,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Friday,31-50,Male,High school,2-5yr,Public (12 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Sunday,18-30,Male,High school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,11,10
Sunday,18-30,Male,Elementary school,2-5yr,Automobile,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,11,10
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,11,10
Saturday,18-30,Male,High school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,3,15
Saturday,18-30,Male,Junior high school,No Licence,Pick up upto 10Q,Governmental,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Driving carelessly,Slight Injury,3,15
Tuesday,31-50,Male,Junior high school,1-2yr,Other,Owner,Unknown,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Other,2,2,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,17,0
Tuesday,Under 18,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,0
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Governmental,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Fatal injury,17,10
Friday,Under 18,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,1-2yr,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Not a Pedestrian,Overturning,Fatal injury,17,10
Tuesday,31-50,Male,Junior high school,1-2yr,Bajaj,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,23
Tuesday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,17,23
Sunday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,Moving Backward,Serious Injury,18,0
Wednesday,31-50,Male,High school,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Other,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,5,3,Not a Pedestrian,No priority to vehicle,Serious Injury,23,35
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (11?40Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Getting off,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,23,35
Wednesday,Under 18,Male,Elementary school,Above 10yr,Automobile,Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,59
Wednesday,Under 18,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,Male,31-50,3,Unknown or other,No distancing,Slight Injury,14,59
Wednesday,Over 51,Male,Elementary school,Above 10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury,14,59
Saturday,Unknown,Male,Junior high school,Above 10yr,Public (13?45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,14,40
Saturday,18-30,Male,Junior high school,1-2yr,Public (12 seats),Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,14,40
Saturday,18-30,Male,Junior high school,5-10yr,Other,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,14,40
Sunday,31-50,Male,High school,2-5yr,Automobile,Governmental,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,48
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12,48
Sunday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,12,48
Sunday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),Governmental,Above 10yr,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,12,48
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,12,48
Friday,18-30,Male,High school,Above 10yr,Other,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Not a Pedestrian,Driving at high speed,Serious Injury,18,40
Friday,18-30,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,18,40
Wednesday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Waiting to go,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Fatal injury,11,11
Wednesday,18-30,Male,Writing & reading,2-5yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Fatal injury,11,11
Tuesday,Over 51,Male,Junior high school,2-5yr,Automobile,Governmental,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,7,50
Tuesday,18-30,Male,High school,2-5yr,Lorry (41?100Q),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,7,50
Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,7,50
Tuesday,18-30,Male,High school,5-10yr,Other,Owner,Unknown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,16,30
Tuesday,31-50,Female,Elementary school,2-5yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,16,30
Monday,Under 18,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Serious Injury,18,56
Monday,Unknown,Male,Elementary school,1-2yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,56
Tuesday,18-30,Male,High school,No Licence,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,18,13
Tuesday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Female,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,18,13
Tuesday,31-50,Male,Junior high school,1-2yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overturning,Serious Injury,18,13
Sunday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,15,15
Sunday,31-50,Male,Junior high school,5-10yr,Stationwagen,Owner,Above 10yr,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,15
Sunday,31-50,Male,Junior high school,5-10yr,Other,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15,15
Tuesday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,3,Getting off,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,10,12
Monday,31-50,Male,Junior high school,2-5yr,Stationwagen,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,19,25
Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,14,57
Friday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Moving Backward,Slight Injury,14,57
Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,14,57
Sunday,Under 18,Male,Elementary school,Above 10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,8,30
Monday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,22,5
Monday,18-30,Male,Elementary school,2-5yr,Turbo,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,22,5
Friday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,Female,Under 18,2,Crossing from driver's nearside,No priority to vehicle,Slight Injury,15,30
Friday,Over 51,Male,Junior high school,Below 1yr,Stationwagen,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Church areas,Undivided Two way,Sharp reverse curve,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Sunday,31-50,Male,High school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,15
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Other,Double carriageway (median),Gentle horizontal curve,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,21,15
Sunday,18-30,Male,Elementary school,1-2yr,Pick up upto 10Q,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Turnover,Pedestrian,Female,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,15
Sunday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,5-10yrs, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,21,15
Monday,18-30,Male,Above high school,1-2yr,Lorry (41?100Q),Owner,1-2yr,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,32
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16,32
Monday,Over 51,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,3,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,32
Friday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,3,4,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,30
